fiscal_year,district,local_admin_org,waste_amount,unit
2566,สามพราน,อบต.ท่าตลาด,130.0,ตันต่อปี
2566,สามพราน,อบต.บางช้าง,62.0,ตันต่อปี
2566,สามพราน,อบต.บางเตย,115.0,ตันต่อปี
2566,สามพราน,อบต.บ้านใหม่,5.0,ตันต่อปี
2566,สามพราน,อบต.ยายชา,21.0,ตันต่อปี
2566,สามพราน,อบต.สามพราน,61.0,ตันต่อปี
2566,สามพราน,อบต.หอมเกร็ด,50.3,ตันต่อปี
2566,พุทธมณฑล,เทศบาลตำบลคลองโยง,76.0,ตันต่อปี
2566,พุทธมณฑล,เทศบาลตำบลศาลายา,20.0,ตันต่อปี
2566,พุทธมณฑล,อบต.มหาสวัสดิ์,74.0,ตันต่อปี
