fiscal_year,district,local_admin_org,waste_amount,unit
2565,สามพราน,เทศบาลตำบลอ้อมใหญ่,192.0,ตันต่อปี
2565,สามพราน,องค์การบริหารส่วนตำบลคลองจินดา,0.0,ตันต่อปี
2565,สามพราน,องค์การบริหารส่วนตำบลคลองใหม่,32.0,ตันต่อปี
2565,สามพราน,องค์การบริหารส่วนตำบลตลาดจินดา,86.0,ตันต่อปี
2565,สามพราน,องค์การบริหารส่วนตำบลทรงคนอง,49.1,ตันต่อปี
2565,สามพราน,องค์การบริหารส่วนตำบลท่าข้าม,4.0,ตันต่อปี
2565,สามพราน,องค์การบริหารส่วนตำบลท่าตลาด,30.0,ตันต่อปี
2565,สามพราน,องค์การบริหารส่วนตำบลบางช้าง,21.0,ตันต่อปี
2565,สามพราน,องค์การบริหารส่วนตำบลบางเตย,100.0,ตันต่อปี
2565,สามพราน,องค์การบริหารส่วนตำบลบ้านใหม่,26.0,ตันต่อปี
2565,สามพราน,องค์การบริหารส่วนตำบลยายชา,40.0,ตันต่อปี
2565,สามพราน,องค์การบริหารส่วนตำบลสามพราน,10.0,ตันต่อปี
2565,สามพราน,องค์การบริหารส่วนตำบลหอมเกร็ด,3.0,ตันต่อปี
2565,พุทธมณฑล,เทศบาลตำบลคลองโยง,306.0,ตันต่อปี
2565,พุทธมณฑล,เทศบาลตำบลศาลายา,20.0,ตันต่อปี
2565,พุทธมณฑล,องค์การบริหารส่วนตำบลมหาสวัสดิ์,150.0,ตันต่อปี
2565,พุทธมณฑล,องค์การบริหารส่วนตำบลศาลายา,0.0,ตันต่อปี
2566,เมืองนครปฐม,เทศบาลนครนครปฐม,150.0,ตันต่อปี
2566,เมืองนครปฐม,เทศบาลเมืองนครปฐม,210.0,ตันต่อปี
2566,เมืองนครปฐม,เทศบาลตำบลดอนยายหอม,58.5,ตันต่อปี
2566,เมืองนครปฐม,เทศบาลตำบลธรรมศาลา,4.0,ตันต่อปี
2566,เมืองนครปฐม,เทศบาลตำบลบ่อพลับ,40.0,ตันต่อปี
2566,เมืองนครปฐม,เทศบาลตำบลโพรงมะเดื่อ,5.0,ตันต่อปี
2566,เมืองนครปฐม,เทศบาลตำบลมาบแค,0.0,ตันต่อปี
2566,เมืองนครปฐม,เทศบาลเมืองสามควายเผือก,63.7,ตันต่อปี
2566,เมืองนครปฐม,เทศบาลตำบลตาก้อง,20.0,ตันต่อปี
2566,เมืองนครปฐม,องค์การบริหารส่วนตำบลถนนขาด,40.9,ตันต่อปี
2566,เมืองนครปฐม,องค์การบริหารส่วนตำบลทัพหลวง,0.0,ตันต่อปี
2566,เมืองนครปฐม,องค์การบริหารส่วนตำบลทุ่งน้อย,10.0,ตันต่อปี
2566,เมืองนครปฐม,องค์การบริหารส่วนตำบลธรรมศาลา,0.0,ตันต่อปี
2566,เมืองนครปฐม,องค์การบริหารส่วนตำบลบางแขม,7.0,ตันต่อปี
2566,เมืองนครปฐม,องค์การบริหารส่วนตำบลบ้านยาง,63.0,ตันต่อปี
2566,เมืองนครปฐม,องค์การบริหารส่วนตำบลพระประโทน,6.0,ตันต่อปี
2566,เมืองนครปฐม,องค์การบริหารส่วนตำบลโพรงมะเดื่อ,45.0,ตันต่อปี
2566,เมืองนครปฐม,องค์การบริหารส่วนตำบลลำพยา,4.0,ตันต่อปี
2566,เมืองนครปฐม,องค์การบริหารส่วนตำบลวังตะกู,175.0,ตันต่อปี
2566,เมืองนครปฐม,องค์การบริหารส่วนตำบลวังเย็น,5.0,ตันต่อปี
2566,เมืองนครปฐม,องค์การบริหารส่วนตำบลสนามจันทร์,7.8,ตันต่อปี
2566,เมืองนครปฐม,องค์การบริหารส่วนตำบลสระกระเทียม,12.0,ตันต่อปี
2566,เมืองนครปฐม,องค์การบริหารส่วนตำบลสวนป่าน,60.0,ตันต่อปี
2566,เมืองนครปฐม,องค์การบริหารส่วนตำบลดอนยายหอม,50.0,ตันต่อปี
2566,เมืองนครปฐม,องค์การบริหารส่วนตำบลหนองงูเหลือม,16.26,ตันต่อปี
2566,เมืองนครปฐม,องค์การบริหารส่วนตำบลหนองดินแดง,124.4,ตันต่อปี
2566,เมืองนครปฐม,องค์การบริหารส่วนตำบลหนองปากโลง,15.0,ตันต่อปี
2566,เมืองนครปฐม,องค์การบริหารส่วนตำบลห้วยจรเข้,0.0,ตันต่อปี
2566,กำแพงแสน,เทศบาลตำบลกำแพงแสน,15.0,ตันต่อปี
2566,กำแพงแสน,องค์การบริหารส่วนตำบลกระตีบ,65.0,ตันต่อปี
2566,กำแพงแสน,องค์การบริหารส่วนตำบลกำแพงแสน,204.0,ตันต่อปี
2566,กำแพงแสน,องค์การบริหารส่วนตำบลดอนข่อย,51.0,ตันต่อปี
2566,กำแพงแสน,องค์การบริหารส่วนตำบลทุ่งกระพังโหม,306.0,ตันต่อปี
2566,กำแพงแสน,องค์การบริหารส่วนตำบลทุ่งขวาง,4.0,ตันต่อปี
2566,กำแพงแสน,องค์การบริหารส่วนตำบลทุ่งบัว,25.0,ตันต่อปี
2566,กำแพงแสน,องค์การบริหารส่วนตำบลทุ่งลูกนก,266.0,ตันต่อปี
2566,กำแพงแสน,องค์การบริหารส่วนตำบลรางพิกุล,20.0,ตันต่อปี
2566,กำแพงแสน,องค์การบริหารส่วนตำบลวังน้ำเขียว,6.0,ตันต่อปี
2566,กำแพงแสน,องค์การบริหารส่วนตำบลสระพัฒนา,64.0,ตันต่อปี
2566,กำแพงแสน,องค์การบริหารส่วนตำบลสระสี่มุม,390.0,ตันต่อปี
